table,object_name,unit_of_observation,variable,pandas_dtype,definition,unit_or_levels,missing_rule,privacy_class,source_file
S2,demographics_summary,aggregate table row,age_q1_years,float64,First quartile of age,years,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
S2,demographics_summary,aggregate table row,age_q3_years,float64,Third quartile of age,years,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
S2,demographics_summary,aggregate table row,male_n,int64,Events recorded as male,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
S2,demographics_summary,aggregate table row,male_pct,float64,Events recorded as male,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
S2,demographics_summary,aggregate table row,female_n,int64,Events recorded as female,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
S2,demographics_summary,aggregate table row,female_pct,float64,Events recorded as female,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
S2,demographics_summary,aggregate table row,unknown_sex_n,int64,Events with unknown or missing sex,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
S3,panel_history,aggregate table row,phase,object,Diagnostic phase,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,panel_signature,object,Observed tested-target panel signature; rare signatures are pooled,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,panel_size,int64,Number of targets in the observed panel signature,targets,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,targets,object,Targets represented by the panel signature,text,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,start_month,object,First aggregate calendar month in which the signature was observed,YYYY-MM,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,end_month,object,Last aggregate calendar month in which the signature was observed,YYYY-MM,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,n_events,float64,Number of analytic same-day laboratory testing events,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,pathogen,object,Pathogen or pooled pathogen target,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,n_test,float64,Number of events with a reported result for the target,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,rare_signature_merged,bool,Whether multiple signatures with fewer than 20 events were pooled,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,suppressed,bool,Primary or complementary disclosure-control flag,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S3,panel_history,aggregate table row,note,object,Methodological note,text,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_panel_history.csv
S4,complete_year_sensitivity,aggregate table row,phase,object,Diagnostic phase,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_complete_year_sensitivity.csv
S4,complete_year_sensitivity,aggregate table row,window,object,Calendar-year sensitivity-analysis window,text,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_complete_year_sensitivity.csv
S4,complete_year_sensitivity,aggregate table row,pathogen,object,Pathogen or pooled pathogen target,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_complete_year_sensitivity.csv
S4,complete_year_sensitivity,aggregate table row,n_test,int64,Number of events with a reported result for the target,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_complete_year_sensitivity.csv
S4,complete_year_sensitivity,aggregate table row,n_pos,int64,Number of target-positive events,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_complete_year_sensitivity.csv
S4,complete_year_sensitivity,aggregate table row,rate_pct,float64,Positivity or pairwise co-detection rate,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_complete_year_sensitivity.csv
S4,complete_year_sensitivity,aggregate table row,ci95_low_pct,float64,Lower bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_complete_year_sensitivity.csv
S4,complete_year_sensitivity,aggregate table row,ci95_high_pct,float64,Upper bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_complete_year_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,standard_population,object,Reference age distribution for direct standardization,text,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,pathogen,object,Pathogen or pooled pathogen target,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,phase,object,Diagnostic phase,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,standardized_rate_pct,float64,Directly age-standardized positivity,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,ci95_low_pct,float64,Lower bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,ci95_high_pct,float64,Upper bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,method,object,Estimation method,text,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,n_bootstrap,int64,Number of bootstrap replicates,replicates,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,seed,int64,Random seed,integer,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S5,age_standardized_sensitivity,aggregate table row,note,object,Methodological note,text,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_age_standardized_sensitivity.csv
S6,age_pathogen_rates,aggregate table row,phase,object,Diagnostic phase,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S6,age_pathogen_rates,aggregate table row,age_group,object,Prespecified age category,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S6,age_pathogen_rates,aggregate table row,pathogen,object,Pathogen or pooled pathogen target,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S6,age_pathogen_rates,aggregate table row,n_test,float64,Number of events with a reported result for the target,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S6,age_pathogen_rates,aggregate table row,n_pos,float64,Number of target-positive events,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S6,age_pathogen_rates,aggregate table row,rate_pct,float64,Positivity or pairwise co-detection rate,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S6,age_pathogen_rates,aggregate table row,ci95_low_pct,float64,Lower bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S6,age_pathogen_rates,aggregate table row,ci95_high_pct,float64,Upper bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S6,age_pathogen_rates,aggregate table row,low_n_lt20,bool,Target-specific tested denominator below 20,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S6,age_pathogen_rates,aggregate table row,suppressed,bool,Primary or complementary disclosure-control flag,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_age_pathogen_rates.csv
S7,codetection_by_age,aggregate table row,age_group,object,Prespecified age category,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_codetection_by_age.csv
S7,codetection_by_age,aggregate table row,valid_events,float64,Events with at least one reported target,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_codetection_by_age.csv
S7,codetection_by_age,aggregate table row,codetected,float64,Events with at least two positive targets,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_codetection_by_age.csv
S7,codetection_by_age,aggregate table row,codetection_rate_pct,float64,Co-detection rate,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_codetection_by_age.csv
S7,codetection_by_age,aggregate table row,ci95_low_pct,float64,Lower bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_codetection_by_age.csv
S7,codetection_by_age,aggregate table row,ci95_high_pct,float64,Upper bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_codetection_by_age.csv
S7,codetection_by_age,aggregate table row,suppressed,bool,Primary or complementary disclosure-control flag,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_codetection_by_age.csv
S8,joint_tested_codetection,aggregate table row,pathogen_a,object,First pathogen in an unordered pair,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_joint_tested_codetection.csv
S8,joint_tested_codetection,aggregate table row,pathogen_b,object,Second pathogen in an unordered pair,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_joint_tested_codetection.csv
S8,joint_tested_codetection,aggregate table row,joint_tested,float64,Events jointly tested for both pathogens,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_joint_tested_codetection.csv
S8,joint_tested_codetection,aggregate table row,both_positive,float64,Jointly tested events positive for both pathogens,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_joint_tested_codetection.csv
S8,joint_tested_codetection,aggregate table row,rate_pct,float64,Positivity or pairwise co-detection rate,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_joint_tested_codetection.csv
S8,joint_tested_codetection,aggregate table row,expected_count,float64,Expected both-positive count under marginal independence,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_joint_tested_codetection.csv
S8,joint_tested_codetection,aggregate table row,observed_expected_ratio,float64,Observed divided by expected both-positive count,ratio,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_joint_tested_codetection.csv
S8,joint_tested_codetection,aggregate table row,suppressed,bool,Primary or complementary disclosure-control flag,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_joint_tested_codetection.csv
S9,panel_size_denominators,aggregate table row,n_targets_tested,int64,Number of reported pathogen targets in an event,targets,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_panel_denominators.csv
S9,panel_size_denominators,aggregate table row,events,float64,Eligible events,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_panel_denominators.csv
S9,panel_size_denominators,aggregate table row,codetected,float64,Events with at least two positive targets,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_panel_denominators.csv
S9,panel_size_denominators,aggregate table row,codetection_rate_pct,float64,Co-detection rate,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_panel_denominators.csv
S9,panel_size_denominators,aggregate table row,suppressed,bool,Primary or complementary disclosure-control flag,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S2_panel_denominators.csv
S10,environment_spearman,aggregate table row,period,object,Prespecified aggregate calendar period,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,age_group,object,Prespecified age category,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,pathogen,object,Pathogen or pooled pathogen target,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,environment,object,Environmental variable,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,n_months,int64,Pairwise-complete calendar months,months,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,rho,float64,Spearman rank correlation coefficient,dimensionless,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,p_value,float64,Two-sided nominal Spearman P value,probability,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,q_period,float64,Benjamini-Hochberg q value within period,probability,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,q_age_panel,float64,Benjamini-Hochberg q value within age panel,probability,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,low_n,bool,Correlation did not meet the minimum paired-month rule,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S10,environment_spearman,aggregate table row,status,object,Computation status,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_environment_spearman.csv
S11,rf_lag_metrics,aggregate table row,pathogen,object,Pathogen or pooled pathogen target,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,lag,int64,Model lag,weeks,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,test_n,int64,Held-out weeks available for the comparison,weeks,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,rf_rmse,float64,Random-forest root mean squared error,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,rf_r2,float64,Random-forest coefficient of determination,dimensionless,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,persistence_rmse,float64,Persistence-baseline root mean squared error,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,persistence_r2,float64,Persistence-baseline coefficient of determination,dimensionless,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,seasonal_naive_rmse,float64,Seasonal-naive baseline root mean squared error,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,seasonal_naive_r2,float64,Seasonal-naive baseline coefficient of determination,dimensionless,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,cv_mean_rmse,float64,Training-only cross-validation mean RMSE,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,cv_mean_r2,float64,Training-only cross-validation mean R-squared,dimensionless,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
S11,rf_lag_metrics,aggregate table row,selected_by_training_cv,bool,Lag selected using training-only cross-validation,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S3_rf_lag_metrics.csv
