phase,panel_signature,panel_size,targets,start_month,end_month,n_events,pathogen,n_test,rare_signature_merged,suppressed,note
Phase II,FluA|FluB|RSV|ADV|PIV|MP,6,FluA|FluB|RSV|ADV|PIV|MP,2024-04,2025-09,295.0,RSV,295.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|MP,6,FluA|FluB|RSV|ADV|PIV|MP,2024-04,2025-09,295.0,ADV,295.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|MP,6,FluA|FluB|RSV|ADV|PIV|MP,2024-04,2025-09,295.0,PIV,295.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|MP,6,FluA|FluB|RSV|ADV|PIV|MP,2024-04,2025-09,295.0,MP,295.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,Other rare signatures (each n<20; size 1),1,Mixed,2019-06,2025-10,,FluA,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 1),1,Mixed,2019-06,2025-10,,FluB,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 1),1,Mixed,2019-06,2025-10,,RSV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 1),1,Mixed,2019-06,2025-10,,ADV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 1),1,Mixed,2019-06,2025-10,,HRV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 1),1,Mixed,2019-06,2025-10,,MP,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 1),1,Mixed,2019-06,2025-10,,HMPV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 3),3,Mixed,2024-08,2024-09,,RSV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 3),3,Mixed,2024-08,2024-09,,ADV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 3),3,Mixed,2024-08,2024-09,,MP,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 4),4,Mixed,2024-05,2025-08,,FluA,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 4),4,Mixed,2024-05,2025-08,,FluB,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 4),4,Mixed,2024-05,2025-08,22.0,RSV,21.0,True,False,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 4),4,Mixed,2024-05,2025-08,22.0,ADV,22.0,True,False,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 4),4,Mixed,2024-05,2025-08,,PIV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 4),4,Mixed,2024-05,2025-08,,HRV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 4),4,Mixed,2024-05,2025-08,,MP,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 5),5,Mixed,2019-02,2025-06,,FluA,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 5),5,Mixed,2019-02,2025-06,,FluB,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 5),5,Mixed,2019-02,2025-06,,RSV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 5),5,Mixed,2019-02,2025-06,,ADV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 5),5,Mixed,2019-02,2025-06,,PIV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 5),5,Mixed,2019-02,2025-06,,HRV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 5),5,Mixed,2019-02,2025-06,,MP,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 5),5,Mixed,2019-02,2025-06,,HMPV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 5),5,Mixed,2019-02,2025-06,,HBOV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 7),7,Mixed,2019-08,2025-05,,FluA,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 7),7,Mixed,2019-08,2025-05,,FluB,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 7),7,Mixed,2019-08,2025-05,,RSV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 7),7,Mixed,2019-08,2025-05,,ADV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 7),7,Mixed,2019-08,2025-05,,PIV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 7),7,Mixed,2019-08,2025-05,,HRV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 7),7,Mixed,2019-08,2025-05,,MP,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 7),7,Mixed,2019-08,2025-05,,HBOV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 8),8,Mixed,2019-02,2024-12,,FluA,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 8),8,Mixed,2019-02,2024-12,,FluB,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 8),8,Mixed,2019-02,2024-12,,RSV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 8),8,Mixed,2019-02,2024-12,,ADV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 8),8,Mixed,2019-02,2024-12,,PIV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 8),8,Mixed,2019-02,2024-12,,HRV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 8),8,Mixed,2019-02,2024-12,,MP,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 8),8,Mixed,2019-02,2024-12,,HMPV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,Other rare signatures (each n<20; size 8),8,Mixed,2019-02,2024-12,,HBOV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
